Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-01,241.62680355947296,261.26625334716283,233.71139698075365,260.544921875,508572200,0.0,0.0
2021-07-01,259.30425809281036,279.05913352895516,259.2946602972845,274.0194396972656,522672700,0.0,0.0
2021-08-01,275.41401539631613,294.14941251935454,272.8941683071446,290.3407897949219,441308900,0.56,0.0
2021-09-01,291.8505946710008,294.2114674253211,271.37373913316804,271.662841796875,502918700,0.0,0.0
2021-10-01,271.8554868430125,319.9206833758431,270.05352866289167,319.55450439453125,516515800,0.0,0.0
2021-11-01,319.3039859221858,336.94783311413295,314.4955484463746,318.56201171875,509885200,0.62,0.0
2021-12-01,323.52761822233185,332.3801312376906,306.2666290263249,324.6764221191406,625674800,0.0,0.0
2022-01-01,323.7400072886493,326.29825696137453,266.49298772501305,300.2137145996094,947531400,0.0,0.0
2022-02-01,299.663444460337,304.21037350951747,262.1198227755495,288.44573974609375,697050600,0.62,0.0
2022-03-01,286.7301392785497,305.6423511156357,261.19142779822664,298.2515869140625,734334200,0.0,0.0
2022-04-01,299.2769830532897,304.8297095206654,261.1914106078059,268.466064453125,627343400,0.0,0.0
2022-05-01,268.64986662715694,281.3902161273694,238.40004257891238,263.0003967285156,742902000,0.62,0.0
2022-06-01,266.8418444120195,269.2562105356979,234.1750345914202,249.0297393798828,621372300,0.0,0.0
2022-07-01,248.60315382152666,273.43533434326656,238.47052055301316,272.2135925292969,534891800,0.0,0.0
2022-08-01,269.3822918467547,285.2454054901149,252.74345737576172,253.5288543701172,477157600,0.62,0.0
2022-09-01,251.54062209882255,259.87771360075897,226.1407231836993,226.305908203125,575586600,0.0,0.0
2022-10-01,228.7448099749898,243.93226569411888,212.92574889333568,225.55767822265625,671225100,0.0,0.0
2022-11-01,227.9577420034127,248.1008063463227,207.38711824546243,247.9161834716797,615296000,0.68,0.0
2022-12-01,247.377339211375,257.1703310438326,227.88883375824457,233.68667602539062,591358700,0.0,0.0
2023-01-01,236.86329325425427,243.44066373896175,213.74018606898764,241.47232055664062,666168100,0.0,0.0
2023-02-01,241.6574404889175,269.68191770019655,239.19214601534907,243.04112243652344,615501000,0.68,0.0
2023-03-01,244.95886559568214,282.57796264121714,239.92801262733474,281.6304016113281,747635000,0.0,0.0
2023-04-01,279.89163443996205,301.78320498757233,268.9995845469485,300.15185546875,551520000,0.0,0.0
2023-05-01,299.86851909058197,328.16832470532916,296.3811007591525,320.7929992675781,600856900,0.68,0.0
2023-06-01,319.08593352131044,344.08963877038616,315.7279657382975,333.38916015625,547702200,0.0,0.0
2023-07-01,332.0674735929924,359.0781175224105,320.13344462788626,328.86614990234375,666746800,0.0,0.0
2023-08-01,328.1514755373537,331.4311361415507,305.0078685320538,320.87750244140625,479476200,0.68,0.0
2023-09-01,325.03961760561947,334.4088621295971,303.5933547946709,309.77410888671875,416742300,0.0,0.0
2023-10-01,310.29416094496816,339.64791552272595,305.3201073382743,331.71099853515625,540950200,0.0,0.0
